"","Yearround","Handicap","indicator","Lat","Long"
"389","Yes","No",2,40.7536177,-73.7227354
"390","Yes","Not Available",1,40.7566953,-73.9484021
"391","Yes","Not Available",1,40.7186569,-73.9016277
"392","Yes","Not Available",1,40.7036801,-73.8039529
"393","Yes","No",1,40.724354,-73.851407
"394","Yes","Not Available",1,40.5849818,-73.8251811
"395","Yes","No",1,40.694687,-73.821775
"396","Yes","No",1,40.836557,-73.887887
"397","Yes","No",1,40.746569,-73.758899
"398","Yes","No",1,40.735877,-73.988722
"399","Yes","No",1,40.7181533,-73.8204022
"400","Yes","Yes",1,40.7298704,-73.8159908
"401","Yes","Yes",1,40.79201,-73.808606
"402","Yes","No",1,40.551685,-74.136334
"403","Yes","Yes",2,40.3087869,-73.9960543
"404","Yes","No",1,40.633905,-74.1290426
"405","Yes","Yes",1,40.637691,-74.074403
"406","Yes","No",1,40.6434007,-74.0860043
"407","Yes","Yes",1,40.6233382,-74.1458331
"408","Yes","Not Available",2,43.6815232,-70.2898967
"409","Yes","Yes",1,40.5762928,-74.098669
"410","Yes","No",1,40.5752343,-74.0988526
"411","Yes","No",1,40.5954163,-74.081599
"412","Yes","No",1,40.5227012,-74.1861976
"413","Yes","No",1,40.5884484,-74.1852803
"414","Yes","No",1,40.628284,-74.099
"415","Yes","Yes",1,40.5869221,-74.0729716
"416","Yes","Yes",1,40.623087,-74.079505
"417","Yes","No",1,40.600498,-74.158237
"418","Yes","Yes",1,43.196119,-73.6516666
"419","Yes","Unknown",1,40.753794,-73.968998
"420","Yes","Not Available",1,40.646566,-73.899077
"421","Yes","Not Available",1,40.8343419,-73.8777413
"422","Yes","Yes",2,40.8897285,-73.863865
"423","Yes","Not Available",1,40.8803982,-73.8615704
"424","Yes","Yes",1,40.645154,-73.980883
"425","Yes","Yes",1,40.690205,-73.970958
"426","Yes","Not Available",1,40.740016,-73.735096
"427","Yes","Not Available",1,40.739942,-73.736188
"428","Yes","Not Available",1,40.747267,-73.742827
"429","Yes","Not Available",1,40.743533,-73.861561
"430","Yes","Yes",1,40.728769,-73.957659
"431","Yes","Not Available",1,40.681298,-73.856995
"432","No","Not Available",1,40.7434498,-73.9548102
"433","Yes","Yes",1,40.8271436,-73.9142127
"434","Yes","Yes",1,40.5976316,-74.0709523
"435","Yes","Not Available",1,40.775606,-73.921492
"436","Yes","Not Available",1,40.7658583,-73.7942082
